City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Yulara,AU,-25.2406,130.9889,73.24,43,40,14.97,scattered clouds
122,Jamestown,US,42.097,-79.2353,31.59,80,1,3.0,clear sky
123,Muzhi,RU,65.3667,64.6667,9.82,82,91,13.13,overcast clouds
124,Barcelos,PT,41.5388,-8.6151,49.28,86,64,4.63,broken clouds
125,Castro,BR,-24.7911,-50.0119,62.19,81,100,8.16,overcast clouds
126,Port Augusta,AU,-32.5,137.7667,69.94,62,100,3.78,light rain
127,San Patricio,US,28.017,-97.5169,70.83,68,99,8.55,overcast clouds
128,Khargupur,IN,27.3833,81.9833,68.95,38,0,4.65,clear sky
129,Pelym,RU,61.0108,61.9978,9.66,88,99,7.47,overcast clouds
130,Eureka,US,40.8021,-124.1637,52.63,74,30,8.01,scattered clouds
131,Santa Lucia,ES,27.9117,-15.5407,58.32,87,20,4.61,few clouds
132,Simbahan,PH,6.3032,120.5836,84.47,73,39,13.73,scattered clouds
133,Gravdal,NO,68.1214,13.5031,31.8,66,94,24.02,overcast clouds
134,Georgiyevka,KZ,43.0369,74.7114,32.04,80,0,2.24,mist
135,Bosaso,SO,11.2842,49.1816,77.95,70,100,2.28,overcast clouds
136,Chicama,PE,-7.8447,-79.1469,66.87,79,89,4.72,overcast clouds
137,Zaysan,KZ,47.4667,84.8667,30.51,81,99,1.19,overcast clouds
138,Te Anau,NZ,-45.4167,167.7167,68.5,39,94,3.44,light rain
139,Watertown,US,42.3709,-71.1828,29.86,57,1,4.0,clear sky
140,Roccastrada,IT,43.0099,11.1665,48.92,85,43,7.05,scattered clouds
141,Kodiak,US,57.79,-152.4072,11.71,62,1,10.36,clear sky
142,Alamosa,US,37.4695,-105.87,46.38,46,90,13.8,overcast clouds
143,Thinadhoo,MV,0.5333,72.9333,82.0,77,74,17.78,broken clouds
144,Tasiilaq,GL,65.6145,-37.6368,24.96,65,100,3.49,overcast clouds
145,Hay River,CA,60.8156,-115.7999,-13.02,77,40,3.44,scattered clouds
146,Kapaa,US,22.0752,-159.319,80.58,74,40,1.01,scattered clouds
147,Bethel,US,41.3712,-73.414,33.57,59,1,4.61,clear sky
148,Iracoubo,GF,5.4802,-53.2011,79.5,84,95,9.33,overcast clouds
149,Shimanovsk,RU,52.0,127.7,22.35,67,25,15.79,scattered clouds
150,Pionerskiy,RU,54.9508,20.2275,42.64,87,85,21.79,overcast clouds
151,Saint-Georges,GD,12.0564,-61.7485,80.28,83,20,12.66,few clouds
152,Monkey Bay,MW,-14.0728,34.9201,82.36,61,70,8.59,broken clouds
153,Port Hardy,CA,50.6996,-127.4199,41.0,100,75,3.44,broken clouds
154,Hovd,MN,48.0056,91.6419,33.28,44,100,7.11,overcast clouds
155,Bambous Virieux,MU,-20.3428,57.7575,79.21,83,20,3.44,few clouds
156,Bagado,CO,5.4116,-76.4152,71.31,98,100,1.23,overcast clouds
157,Mindelo,CV,16.8901,-24.9804,74.75,88,75,11.5,broken clouds
158,Ilulissat,GL,69.2167,-51.1,26.62,93,90,3.44,snow
159,Omachi,JP,36.5,137.8667,47.46,67,61,9.37,light rain
160,Camacha,PT,33.0833,-16.3333,65.53,68,75,17.27,broken clouds
161,Salina,US,38.8403,-97.6114,60.93,34,1,10.0,clear sky
162,Lagunas,PE,-5.2269,-75.6753,72.61,98,97,1.77,heavy intensity rain
163,Andenes,NO,69.3143,16.1194,30.07,80,40,24.16,freezing rain
164,Kavieng,PG,-2.5744,150.7967,84.9,72,99,15.26,overcast clouds
165,Deputatskiy,RU,69.3,139.9,-22.94,95,100,4.23,overcast clouds
166,Loukhi,RU,66.0764,33.0381,20.25,96,100,3.0,overcast clouds
167,Oksfjord,NO,70.2396,22.3479,22.12,87,99,9.91,snow
168,Martil,MA,35.6166,-5.2752,53.56,71,88,13.8,overcast clouds
169,Sitka,US,57.0531,-135.33,35.49,80,90,9.22,light rain
170,Lebanon,US,36.2081,-86.2911,39.45,76,1,0.0,clear sky
171,Makakilo City,US,21.3469,-158.0858,80.92,60,40,10.36,scattered clouds
172,Shingu,JP,33.7333,135.9833,56.39,51,7,13.27,clear sky
173,General Roca,AR,-39.0333,-67.5833,68.4,19,1,3.96,clear sky
174,Mount Gambier,AU,-37.8333,140.7667,71.51,60,40,11.5,light rain
175,Matagami,CA,49.7502,-77.6328,15.91,100,90,10.36,light snow
176,Jalingo,NG,8.8833,11.3667,76.5,28,64,2.53,broken clouds
177,Lander,US,42.833,-108.7307,40.01,30,1,0.0,clear sky
178,Lorengau,PG,-2.0226,147.2712,78.98,88,100,14.99,moderate rain
179,Tank,PK,32.2217,70.3793,69.12,15,0,1.66,clear sky
180,Moville,US,42.4889,-96.0725,54.9,49,55,16.98,broken clouds
181,Yellowknife,CA,62.456,-114.3525,-12.59,86,75,1.99,broken clouds
182,Saint-Avold,FR,49.1027,6.7006,38.93,99,1,8.28,clear sky
183,Chuy,UY,-33.6971,-53.4616,52.61,79,0,4.61,light rain
184,Mbala,ZM,-8.8402,31.3659,62.51,80,85,1.5,overcast clouds
185,Meulaboh,ID,4.1363,96.1285,81.25,81,100,4.88,light rain
186,Manta,EC,-0.95,-80.7333,73.18,83,90,10.36,overcast clouds
187,Victoria,HK,22.2855,114.1577,72.18,65,0,3.0,clear sky
188,Buenos Aires,AR,-34.6132,-58.3772,73.13,64,0,8.05,clear sky
189,Kota Belud,MY,6.351,116.4305,87.66,54,96,5.73,overcast clouds
190,Hambantota,LK,6.1241,81.1185,77.34,100,20,5.75,light rain
191,Minuri,PH,16.535,121.8574,75.2,95,100,2.33,overcast clouds
192,Xinmin,CN,41.9908,122.8253,28.65,56,20,6.62,few clouds
193,Dingle,PH,10.9995,122.6711,83.41,79,100,14.81,light rain
194,Goure,NE,13.9835,10.2704,77.02,19,1,8.48,clear sky
195,Luanda,AO,-8.8368,13.2343,78.8,83,20,5.75,few clouds
196,Xiongyue,CN,40.1774,122.1228,40.3,42,0,5.82,clear sky
197,Nagua,DO,19.3832,-69.8474,74.44,89,82,5.08,broken clouds
198,Nador,MA,35.174,-2.9287,48.45,87,0,2.3,clear sky
199,Marawi,PH,7.9986,124.2928,76.64,73,92,5.46,overcast clouds
200,Severo-Kurilsk,RU,50.6789,156.125,37.56,96,100,30.44,moderate rain
201,Kupang,ID,-10.1667,123.5833,86.58,79,40,4.61,scattered clouds
202,Tarancon,ES,40.0085,-3.0073,37.49,83,100,5.48,overcast clouds
203,Mutsu,JP,41.2894,141.2169,39.22,65,75,17.27,broken clouds
204,Lebu,CL,-37.6167,-73.65,54.45,93,4,11.23,clear sky
205,Sisimiut,GL,66.9395,-53.6735,33.82,95,100,45.83,light rain
206,Leh,IN,34.1667,77.5833,21.02,46,57,1.1,broken clouds
207,Havre-Saint-Pierre,CA,50.2334,-63.5986,28.76,80,90,16.11,overcast clouds
208,Meadow Lake,US,34.8014,-106.5436,52.65,43,97,7.94,overcast clouds
209,Mokhsogollokh,RU,61.4681,128.9203,-8.25,87,100,0.96,overcast clouds
210,Fortuna,US,40.5982,-124.1573,52.36,71,90,1.99,overcast clouds
211,Aitape,PG,-3.1374,142.3475,81.9,78,99,0.47,overcast clouds
212,Mersing,MY,2.4312,103.8405,78.71,94,40,2.3,heavy intensity rain
213,Georgetown,MY,5.4112,100.3354,86.9,77,20,1.01,few clouds
214,Krasnoborsk,RU,61.5598,45.934,12.02,97,78,4.72,broken clouds
215,Quatre Cocos,MU,-20.2078,57.7625,79.09,71,19,10.58,few clouds
216,Inuvik,CA,68.3499,-133.7218,-8.39,76,75,3.44,light snow
217,Cayenne,GF,4.9333,-52.3333,81.09,84,20,3.0,few clouds
218,Bakel,SN,14.905,-12.4568,80.6,22,8,9.26,clear sky
219,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,90,100,19.69,overcast clouds
220,Palu,ID,-0.8917,119.8707,85.77,79,72,3.47,broken clouds
221,Avarua,CK,-21.2078,-159.775,77.05,65,95,12.66,overcast clouds
222,Geraldton,AU,-28.7667,114.6,91.81,14,0,12.66,clear sky
223,Kapoeta,SS,4.7717,33.5903,78.1,44,22,1.48,few clouds
224,Richards Bay,ZA,-28.783,32.0377,66.96,62,99,15.28,overcast clouds
225,Auki,SB,-8.7676,160.7034,84.9,68,83,4.76,broken clouds
226,Van,TR,38.4924,43.3831,33.15,86,75,3.44,broken clouds
227,East London,ZA,-33.0153,27.9116,56.34,100,75,11.5,light rain
228,Desaguadero,PE,-16.5656,-69.0417,48.97,74,93,9.82,overcast clouds
229,Loandjili,CG,-4.7561,11.8578,80.71,89,75,10.36,light rain
230,Lopez,PH,13.8844,122.2642,88.54,55,59,9.62,broken clouds
231,Roma,US,43.2128,-75.4557,27.03,85,1,0.0,clear sky
232,Concepcion Del Oro,MX,24.6333,-101.4167,55.63,57,21,8.28,few clouds
233,Butterworth,MY,5.3991,100.3638,87.01,77,20,7.0,few clouds
234,Alofi,NU,-19.0595,-169.9187,82.29,69,75,6.91,broken clouds
235,Aswan,EG,24.0934,32.907,61.59,45,0,7.92,clear sky
236,Salinas,US,36.6777,-121.6555,58.84,81,1,5.75,clear sky
237,Beloha,MG,-25.1667,45.05,74.88,78,79,13.09,broken clouds
238,Aljezur,PT,37.3191,-8.8033,49.3,73,0,2.3,clear sky
239,Vila Velha,BR,-20.3297,-40.2925,71.55,94,0,0.0,clear sky
240,Nenjiang,CN,49.1833,125.2167,19.8,80,97,14.45,overcast clouds
241,Camabatela,AO,-8.1881,15.375,63.32,99,100,3.04,light rain
242,Fairbanks,US,64.8378,-147.7164,-7.64,67,1,0.0,clear sky
243,Arcata,US,40.8665,-124.0828,52.63,72,90,5.01,overcast clouds
244,Birsk,RU,55.4211,55.5428,5.31,98,94,5.61,overcast clouds
245,Ihosy,MG,-22.4,46.1167,74.57,70,98,6.44,overcast clouds
246,Isugod,PH,9.3408,118.1196,87.93,59,70,5.37,broken clouds
247,Nokaneng,BW,-19.6667,22.2667,67.86,21,65,4.79,broken clouds
248,Naze,JP,28.3667,129.4833,63.52,58,46,11.34,scattered clouds
249,Sibolga,ID,1.7427,98.7792,85.41,61,100,4.0,overcast clouds
250,Burnie,AU,-41.0667,145.9167,65.26,71,100,5.21,moderate rain
251,Port Blair,IN,11.6667,92.75,83.88,78,78,14.92,broken clouds
252,Lompoc,US,34.6391,-120.4579,57.11,88,1,6.91,clear sky
