City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
321,321,Bengkulu,ID,2021-11-21 21:14:14,-3.8004,102.2655,76.5,89,100,4.27
322,322,Saint-Pierre,RE,2021-11-21 21:14:14,-21.3393,55.4781,73.29,76,0,4.61
338,338,Gorontalo,ID,2021-11-21 21:14:20,0.5412,123.0595,74.26,93,58,3.18
341,341,Itarema,BR,2021-11-21 21:14:21,-2.9248,-39.9167,80.62,73,3,14.65
342,342,Trairi,BR,2021-11-21 21:12:25,-3.2778,-39.2689,80.38,74,8,10.87
346,346,Ciudad Bolivar,VE,2021-11-21 21:14:22,8.1222,-63.5497,86.27,58,100,7.09
349,349,Port Blair,IN,2021-11-21 21:14:23,11.6667,92.75,81.09,83,20,8.01
353,353,Xai-Xai,MZ,2021-11-21 21:14:25,-25.0519,33.6442,71.47,73,100,9.17
359,359,Pitimbu,BR,2021-11-21 21:10:22,-7.4706,-34.8086,81.19,73,94,10.22
362,362,Grand Gaube,MU,2021-11-21 21:15:27,-20.0064,57.6608,75.38,73,53,12.66
363,363,Lompoc,US,2021-11-21 21:15:28,34.6391,-120.4579,84.78,25,1,12.66
365,365,North Shore,NZ,2021-11-21 21:15:28,-36.8,174.75,73.9,80,100,5.01
367,367,Taoudenni,ML,2021-11-21 21:15:29,22.6783,-3.9836,81.37,25,94,7.7
373,373,Dakar,SN,2021-11-21 21:15:31,14.6937,-17.4441,79.68,89,0,6.91
377,377,Maceio,BR,2021-11-21 21:15:32,-9.6658,-35.7353,81.84,74,0,8.05
381,381,Ligayan,PH,2021-11-21 21:15:33,4.6533,119.4706,83.61,69,39,3.06
382,382,Saint-Georges,GD,2021-11-21 21:15:34,12.0564,-61.7485,82.08,78,20,17.27
385,385,Sindgi,IN,2021-11-21 21:15:35,16.9167,76.2333,73.49,86,73,5.7
386,386,Ahipara,NZ,2021-11-21 21:15:35,-35.1667,173.1667,70.21,76,100,2.59
388,388,Kaohsiung,TW,2021-11-21 21:15:36,22.6163,120.3133,73.35,87,40,1.01
389,389,Cidreira,BR,2021-11-21 21:15:36,-30.1811,-50.2056,72.05,69,0,11.41
390,390,Port Keats,AU,2021-11-21 21:15:36,-14.25,129.55,84.04,76,100,8.28
391,391,Nanakuli,US,2021-11-21 21:15:37,21.3906,-158.1547,84.15,55,75,10.36
392,392,Puerto Ayacucho,VE,2021-11-21 21:15:37,5.6639,-67.6236,79.38,79,100,4.21
393,393,Canto Do Buriti,BR,2021-11-21 21:15:37,-8.11,-42.9444,87.85,34,45,3.4
394,394,Buala,SB,2021-11-21 21:15:37,-8.145,159.5921,83.23,74,24,6.89
397,397,Padang,ID,2021-11-21 21:15:38,-0.9492,100.3543,77.86,84,100,5.84
398,398,Cap Malheureux,MU,2021-11-21 21:15:39,-19.9842,57.6142,75.47,73,48,12.73
403,403,Puerto Baquerizo Moreno,EC,2021-11-21 21:15:40,-0.9,-89.6,74.39,64,75,13.8
404,404,Antalaha,MG,2021-11-21 21:15:41,-14.9003,50.2788,74.77,79,58,1.99
405,405,Moussoro,TD,2021-11-21 21:15:41,13.6408,16.4901,83.53,15,59,10.25
406,406,Progreso,MX,2021-11-21 21:15:41,21.2833,-89.6667,86.11,72,10,12.88
408,408,Yorosso,ML,2021-11-21 21:15:42,12.3536,-4.7761,79.74,14,5,8.59
410,410,Paita,PE,2021-11-21 21:16:42,-5.0892,-81.1144,70.36,74,61,14.72
411,411,Ayorou,NE,2021-11-21 21:16:43,14.7308,0.9174,85.62,13,25,7.9
419,419,Kuah,MY,2021-11-21 21:16:45,6.3265,99.8432,76.98,94,20,0.0
423,423,Keelung,TW,2021-11-21 21:16:46,25.1283,121.7419,72.12,91,62,17.81
426,426,Sisophon,KH,2021-11-21 21:16:47,13.5859,102.9737,74.79,94,75,1.83
427,427,Cockburn Town,TC,2021-11-21 21:15:01,21.4612,-71.1419,82.36,69,40,9.22
429,429,Venezuela,VE,2021-11-21 21:16:48,8.0,-66.0,87.82,51,100,4.47
435,435,Abadiania,BR,2021-11-21 21:16:50,-16.2042,-48.7069,70.72,87,99,2.33
438,438,Pundaguitan,PH,2021-11-21 21:16:51,6.3711,126.1689,82.65,75,90,6.13
445,445,Meulaboh,ID,2021-11-21 21:16:53,4.1363,96.1285,75.25,89,100,3.11
